instnm,sub_pref,course,course_title,academic_year
Texas A&M University-Kingsville,PSYC,4336,DRUGS AND SOCIAL CONTROL,2024
Texas A&M University-Kingsville,PSYC,4312,PHYSIOLOGICAL PSYCHOLOGY (WI),2024
Texas A&M University-Kingsville,ROTC,1305,LEADERSHIP AND DEVELOPMENT,2024
Texas A&M University-Kingsville,RWSC,3995,INTERNSHIP,2024
Texas A&M University-Kingsville,RWSC,3390,SPEC TOPS IN RANGE AND NAT RES,2024
Texas A&M University-Kingsville,RWSC,3354,COMM PUBL WILDLIFE PHOTO,2024
Texas A&M University-Kingsville,RWSC,3353,WILDLIFE PHOTOGRAPHIC TECH.,2024
Texas A&M University-Kingsville,RWSC,3350,ART DESN WILDLIFE PHOTO,2024
Texas A&M University-Kingsville,RWSC,3328,RANGELAND PLANTS,2024
Texas A&M University-Kingsville,RWSC,3310,WILDLIFE MGMT TECHNIQUES,2024
Texas A&M University-Kingsville,RWSC,2330,RANGE AND WILDLIFE MGMT,2024
Texas A&M University-Kingsville,ROTC,4305,DEVELOPING ADAPTIVE LEADERS,2024
Texas A&M University-Kingsville,ROTC,3335,AMERICAN MILITARY HISTORY,2024
Texas A&M University-Kingsville,ROTC,3305,ADAPTIVE TACTICAL LEADERSHIP,2024
Texas A&M University-Kingsville,ROTC,2305,INNOVATIVE TEAM LEADERSHIP,2024
Texas A&M University-Kingsville,PSYC,3320,PSYCH OF CRIMINAL BEHAVIOR,2024
Texas A&M University-Kingsville,VETT,2201,INTRO TO VET. TECH,2024
Texas A&M University-Kingsville,VETT,1040,VET. ANIMAL CARE AND HUSB.,2024
Texas A&M University-Kingsville,UNIV,1201,LEARNING IN GLOBAL CONTEXT,2024
Texas A&M University-Kingsville,VETT,2233,VETERINARY MEDICAL TERMINOLOGY,2024
Texas A&M University-Kingsville,VETT,3206,VETERINARY DIAGNOSTIC IMAGING,2024
Texas A&M University-Kingsville,WGST,1301,INTRO TO GENDER STUDIES,2024
Texas A&M University-Kingsville,VETT,4420,VET. ANES./SURG. NURSING II,2024
Texas A&M University-Kingsville,VETT,4331,VET. NURS. FOR HOOFSTOCK,2024
Texas A&M University-Kingsville,VETT,4315,HEALTH MANAGEMENT OF HOOFSTOCK,2024
Texas A&M University-Kingsville,VETT,4217,VETERINARY OFFICE MGMT (WI),2024
Texas A&M University-Kingsville,VETT,3328,VET. CLINICAL PATHOLOGY I,2024
Texas A&M University-Kingsville,VETT,3311,HEALTH MGT. OF SA II,2024
Texas A&M University-Kingsville,VETT,3225,VET. NURSING TECH FOR SA II,2024
Texas A&M University-Kingsville,STAT,1342,ELEMENTARY STATISTICS,2024
Texas A&M University-Kingsville,SPAN,4319,HISPANIC CULTURE,2024
Texas A&M University-Kingsville,SPAN,3301,ADVANCED SPANISH GRAMMER,2024
Texas A&M University-Kingsville,SPAN,2312,INTERMEDIATE SPANISH II,2024
Texas A&M University-Kingsville,SPAN,2311,INTERMEDIATE SPANISH I,2024
Texas A&M University-Kingsville,SPAN,1314,ELEMENTARY SPANISH II,2024
Texas A&M University-Kingsville,STAT,4301,BIOSTATISTICS,2024
Texas A&M University-Kingsville,STAT,4350,PROBABILITY,2024
Texas A&M University-Kingsville,THEA,4399,SENIOR PROJECT,2024
Texas A&M University-Kingsville,THEA,4302,PLAY DIRECTION,2024
Texas A&M University-Kingsville,THEA,2310,INTRODUCTION TO THEATRE,2024
Texas A&M University-Kingsville,STAT,4303,STATISTICAL METHODS,2024
Texas A&M University-Kingsville,MUSI,4336,COMMERCIAL RECORD AND MIX,2024
Texas A&M University-Kingsville,MUSI,4318,ANALYTICAL TECHNIQUES I (WI),2024
Texas A&M University-Kingsville,MUSI,4308,MUSIC HISTORY & LITERATURE,2024
Texas A&M University-Kingsville,MUSI,4307,MUSIC HISTORY & LITERATURE,2024
Texas A&M University-Kingsville,MUSI,4275,STUDIES IN PEDAGOGY,2024
Texas A&M University-Kingsville,MUSI,3394,ADVANCED MUSIC CONCEPTS,2024
Texas A&M University-Kingsville,MUSI,3393,ELEMENTARY MUSIC CONCEPTS,2024
Texas A&M University-Kingsville,MUSI,3371,PIANO PEDAGOGY I,2024
Texas A&M University-Kingsville,MUSI,3312,ORCHESTRATION,2024
Texas A&M University-Kingsville,MUSI,3196,BASIC CONDUCTING,2024
Texas A&M University-Kingsville,MUSI,3151,CHAMBER SINGERS,2024
Texas A&M University-Kingsville,MUSI,3133,MARIACHI JAVELINA,2024
Texas A&M University-Kingsville,MUSI,3132,ADVANCED CHAMBER MUSIC,2024
Texas A&M University-Kingsville,MUSI,3131,JAZZ BAND I,2024
Texas A&M University-Kingsville,MUSI,3130,JAZZ COMBO,2024
Texas A&M University-Kingsville,PHIL,1301,INTROD TO PHILOSOPHY,2024
Texas A&M University-Kingsville,NGEN,4396,NATURAL GAS PRODUCTION,2024
Texas A&M University-Kingsville,NGEN,4389,SEPARATION PROCESSES,2024
Texas A&M University-Kingsville,NGEN,4375,NATURAL GAS TRANSMN DISTRIB,2024
Texas A&M University-Kingsville,NGEN,4297,CAPSTONE DESIGN I,2024
Texas A&M University-Kingsville,NGEN,3392,FLUID TRANSPORT PHENOMENA,2024
Texas A&M University-Kingsville,NGEN,3322,FUND OF RESERVOIR ENGINEERING,2024
Texas A&M University-Kingsville,NGEN,3122,RESERVOIR ENGINEERING LAB,2024
Texas A&M University-Kingsville,NCBM,102,BASE NCBO DEVELOPMENTAL MATH,2024
Texas A&M University-Kingsville,NCBM,101,NON-COURSE BASED OPTION MATH,2024
Texas A&M University-Kingsville,MUSI,3127,ADVANCED MARCHING BAND,2024
Texas A&M University-Kingsville,MUSI,3121,SYMPHONIC BAND I,2024
Texas A&M University-Kingsville,MUSI,1189,STRING CLASS,2024
Texas A&M University-Kingsville,MUSI,1188,PERCUSSION CLASS,2024
Texas A&M University-Kingsville,MUSI,1183,VOICE CLASS,2024
Texas A&M University-Kingsville,MUSI,1181,PIANO I,2024
Texas A&M University-Kingsville,MUSI,1175,LOW BRASS,2024
Texas A&M University-Kingsville,MUSI,1174,HIGH BRASS,2024
Texas A&M University-Kingsville,MUSI,1167,WOODWINDS II,2024
Texas A&M University-Kingsville,MUSI,1166,WOODWINDS I,2024
Texas A&M University-Kingsville,MUSI,1141,CONCERT CHOIR,2024
Texas A&M University-Kingsville,MUSI,1134,LATIN JAZZ ENSEMBLE,2024
Texas A&M University-Kingsville,MUSI,1132,CHAMBER MUSIC,2024
Texas A&M University-Kingsville,MUSI,1131,JAZZ WORKSHOP,2024
Texas A&M University-Kingsville,MUSI,1127,MARCHING BAND,2024
Texas A&M University-Kingsville,MUSI,1123,SYMPHONY ORCHESTRA,2024
Texas A&M University-Kingsville,MUSI,1122,CONCERT BAND,2024
Texas A&M University-Kingsville,MUSI,1195,INSTRUMENTS FOR ELEM MUSIC,2024
